resp_id,worker_pre,att_covid_selfsevere,age,weight_main
558,yes,Somewhat disagree,58,0
559,yes,Neutral,34,0
560,yes,Somewhat agree,32,0
561,yes,Neutral,31,0
562,yes,Neutral,50,0
564,yes,Neutral,50,0
565,no,Somewhat disagree,50,0
566,yes,Somewhat disagree,57,0
567,yes,Somewhat agree,52,0
570,yes,Somewhat disagree,24,0
571,yes,Somewhat agree,51,0
572,yes,Somewhat agree,48,0
573,no,Neutral,68,0
574,no,Strongly agree,23,0
575,no,Somewhat agree,51,0
576,yes,Strongly disagree,39,0
579,yes,Somewhat disagree,22,0
580,yes,Somewhat agree,43,0
581,yes,Somewhat agree,20,0
582,no,Strongly agree,51,0
583,yes,Strongly agree,42,0
584,yes,Strongly disagree,43,0
585,no,Strongly agree,81,0
587,yes,Somewhat agree,38,0
588,no,Somewhat agree,48,0
590,no,Somewhat agree,23,0
591,yes,Somewhat disagree,28,0
592,yes,Somewhat disagree,44,0
593,yes,Somewhat agree,45,0
594,yes,Somewhat agree,24,0
595,yes,Strongly agree,43,0
596,yes,Somewhat agree,27,0
597,yes,Strongly agree,51,0
598,no,Somewhat agree,70,0
599,yes,Somewhat agree,50,0
600,yes,Strongly disagree,57,0
601,yes,Somewhat disagree,47,0
602,yes,Somewhat agree,45,0
603,yes,Neutral,50,0
604,yes,Somewhat agree,28,0
605,yes,Neutral,32,0
606,yes,Somewhat agree,38,0
607,yes,Somewhat disagree,26,0
608,yes,Somewhat disagree,23,0
610,yes,Strongly disagree,25,0
611,yes,Somewhat agree,39,0
612,yes,Somewhat disagree,24,0
613,yes,Somewhat disagree,26,0
615,yes,Strongly agree,30,0
616,yes,Strongly disagree,27,0
617,no,Neutral,26,0
618,yes,Neutral,24,0
619,no,Strongly agree,75,0
620,yes,Neutral,28,0
621,no,Somewhat agree,56,0
622,yes,Somewhat disagree,31,0
623,yes,Strongly disagree,45,0
624,yes,Strongly disagree,38,0
625,yes,Somewhat agree,42,0
626,yes,Neutral,33,0
627,yes,Somewhat agree,69,0
629,yes,Somewhat agree,29,0
630,yes,Somewhat disagree,36,0
631,yes,Somewhat disagree,31,0
632,yes,Neutral,36,0
633,yes,Somewhat agree,57,0
634,yes,Somewhat disagree,52,0
635,yes,Strongly agree,65,0
636,yes,Strongly disagree,28,0
637,yes,Neutral,57,0
638,yes,Strongly agree,30,0
640,yes,Somewhat agree,62,0
641,yes,Strongly agree,66,0
642,no,Somewhat agree,22,0
643,no,Somewhat agree,33,0
645,no,Strongly agree,20,0
647,yes,Somewhat agree,39,0
648,yes,Somewhat agree,44,0
649,yes,Somewhat agree,46,0
651,yes,Strongly agree,44,0
652,yes,Neutral,34,0
653,yes,Somewhat disagree,34,0
655,yes,Neutral,50,0
656,yes,Somewhat disagree,44,0
657,yes,Somewhat agree,61,0
658,yes,Neutral,58,0
659,yes,Somewhat agree,40,0
661,yes,Strongly agree,53,0
663,yes,Somewhat disagree,37,0
664,yes,Somewhat agree,38,0
665,no,Neutral,22,0
666,yes,Somewhat agree,29,0
667,yes,Strongly disagree,41,0
668,yes,Somewhat disagree,23,0
669,yes,Somewhat agree,31,0
670,yes,Somewhat agree,31,0
671,yes,Somewhat agree,30,0
672,yes,Somewhat disagree,30,0
673,yes,Strongly agree,23,0
674,yes,Somewhat agree,33,0
675,yes,Strongly agree,64,0
676,yes,Somewhat disagree,41,0
677,yes,Somewhat agree,35,0
678,yes,Somewhat agree,52,0
679,yes,Neutral,52,0
680,yes,Somewhat agree,22,0
681,yes,Neutral,37,0
682,yes,Somewhat agree,28,0
683,yes,Strongly agree,52,0
684,yes,Somewhat agree,41,0
685,yes,Neutral,43,0
686,yes,Neutral,32,0
687,yes,Neutral,31,0
688,yes,Somewhat disagree,32,0
690,yes,Strongly agree,51,0
691,yes,Somewhat agree,30,0
692,yes,Neutral,33,0
693,yes,Neutral,32,0
694,yes,Somewhat agree,32,0
695,yes,Strongly agree,68,0
696,yes,Neutral,33,0
697,yes,Somewhat disagree,25,0
698,yes,Strongly agree,57,0
700,yes,Strongly agree,60,0
702,yes,Somewhat disagree,45,0
703,yes,Neutral,59,0
704,yes,Somewhat agree,47,0
705,yes,Somewhat agree,51,0
706,yes,Somewhat agree,82,0
707,yes,Somewhat agree,56,0
708,yes,Strongly disagree,30,0
710,yes,Somewhat disagree,56,0
711,no,Somewhat agree,56,0
712,yes,Somewhat agree,38,0
713,yes,Neutral,61,0
714,yes,Strongly disagree,38,0
715,yes,Somewhat agree,32,0
716,yes,Somewhat agree,35,0
717,yes,Somewhat agree,67,0
718,yes,Somewhat agree,63,0
719,yes,Strongly disagree,66,0
720,yes,Strongly agree,72,0
721,yes,Somewhat disagree,43,0
723,yes,Strongly agree,58,0
724,yes,Strongly agree,68,0
726,yes,Neutral,29,0
727,yes,Somewhat disagree,40,0
728,yes,Somewhat agree,35,0
729,yes,Somewhat disagree,36,0
730,no,Neutral,64,0
731,yes,Somewhat disagree,54,0
732,yes,Somewhat disagree,47,0
733,yes,Somewhat disagree,36,0
734,yes,Somewhat agree,63,0
735,yes,Somewhat agree,24,0
736,yes,Strongly disagree,23,0
737,yes,Somewhat agree,42,0
738,yes,Somewhat disagree,55,0
739,yes,Neutral,62,0
740,yes,Strongly disagree,49,0
742,yes,Neutral,29,0
743,yes,Neutral,43,0
744,yes,Somewhat agree,40,0
745,yes,Neutral,39,0
747,yes,Strongly agree,57,0
748,yes,Somewhat agree,23,0
750,yes,Strongly disagree,24,0
751,no,Somewhat agree,27,0
752,yes,Neutral,21,0
753,no,Neutral,65,0
754,yes,Strongly agree,40,0
755,yes,Strongly agree,25,0
756,yes,Neutral,53,0
757,yes,Somewhat disagree,26,0
758,yes,Neutral,27,0
759,no,Neutral,62,0
760,yes,Somewhat agree,23,0
761,no,Strongly agree,28,0
762,yes,Somewhat disagree,36,0
763,yes,Neutral,58,0
764,yes,Somewhat agree,63,0
766,yes,Neutral,42,0
767,yes,Neutral,57,0
768,yes,Strongly disagree,60,0
769,no,Strongly agree,64,0
770,yes,Somewhat disagree,41,0
771,yes,Neutral,25,0
772,yes,Somewhat agree,56,0
773,yes,Strongly disagree,28,0
774,yes,Somewhat agree,55,0
775,yes,Somewhat disagree,59,0
776,yes,Somewhat agree,37,0
777,yes,Somewhat agree,69,0
778,no,Somewhat agree,28,0
779,no,Neutral,42,0
780,yes,Somewhat disagree,33,0
781,yes,Somewhat disagree,56,0
782,yes,Somewhat disagree,35,0
783,yes,Somewhat agree,49,0
784,no,Somewhat agree,70,0
785,yes,Somewhat disagree,24,0
787,yes,Somewhat disagree,27,0
788,yes,Neutral,46,0
789,no,Neutral,28,0
790,yes,Strongly disagree,27,0
791,yes,Somewhat agree,23,0
792,yes,Somewhat disagree,23,0
793,yes,Somewhat agree,26,0
794,yes,Somewhat agree,56,0
795,yes,Strongly agree,57,0
796,yes,Neutral,60,0
797,yes,Neutral,25,0
799,yes,Strongly disagree,47,0
800,yes,Somewhat disagree,26,0
801,yes,Strongly agree,41,0
802,yes,Somewhat agree,33,0
803,yes,Somewhat disagree,25,0
804,yes,Somewhat disagree,59,0
805,yes,Strongly agree,29,0
806,yes,Strongly agree,43,0
807,yes,Somewhat agree,50,0
808,yes,Neutral,43,0
809,yes,Neutral,42,0
810,yes,Somewhat disagree,29,0
811,yes,Somewhat disagree,23,0
813,yes,Somewhat disagree,28,0
815,yes,Somewhat agree,63,0
816,yes,Somewhat agree,50,0
817,yes,Somewhat agree,44,0
818,yes,Neutral,61,0
819,yes,Somewhat agree,66,0
820,yes,Neutral,29,0
821,yes,Somewhat disagree,51,0
822,yes,Somewhat disagree,32,0
823,yes,Somewhat agree,33,0
824,yes,Neutral,29,0
825,yes,Somewhat agree,50,0
826,yes,Somewhat disagree,35,0
827,yes,Neutral,40,0
828,yes,Somewhat disagree,59,0
829,yes,Strongly disagree,48,0
830,yes,Somewhat agree,39,0
831,yes,Neutral,35,0
832,yes,Strongly agree,38,0
833,yes,Somewhat disagree,36,0
834,yes,Somewhat agree,71,0
835,yes,Strongly agree,31,0
836,yes,Neutral,27,0
837,yes,Somewhat disagree,32,0
838,yes,Somewhat agree,34,0
839,yes,Neutral,27,0
840,yes,Neutral,28,0
841,yes,Somewhat disagree,57,0
842,yes,Strongly agree,50,0
843,yes,Somewhat agree,51,0
845,yes,Somewhat agree,67,0
846,yes,Somewhat disagree,35,0
848,yes,Neutral,35,0
849,yes,Strongly disagree,24,0
850,no,Somewhat disagree,23,0
852,yes,Strongly agree,50,0
854,yes,Strongly disagree,29,0
855,yes,Somewhat disagree,37,0
856,yes,Somewhat agree,45,0
857,yes,Neutral,26,0
859,yes,Somewhat agree,28,0
860,yes,Somewhat disagree,37,0
861,yes,Somewhat disagree,32,0
862,yes,Strongly agree,29,0
863,yes,Strongly agree,33,0
864,yes,Neutral,26,0
865,yes,Somewhat disagree,48,0
866,yes,Neutral,40,0
867,no,Somewhat disagree,43,0
868,yes,Strongly agree,59,0
869,yes,Somewhat disagree,60,0
870,yes,Somewhat disagree,35,0
871,yes,Somewhat agree,28,0
872,yes,Somewhat disagree,33,0
873,yes,Somewhat agree,55,0
875,yes,Somewhat disagree,29,0
876,yes,Somewhat agree,60,0
878,yes,Somewhat disagree,36,0
879,no,Somewhat disagree,25,0
880,yes,Somewhat disagree,30,0
881,yes,Strongly agree,31,0
882,yes,Somewhat disagree,24,0
883,yes,Strongly agree,64,0
884,yes,Somewhat agree,40,0
885,yes,Somewhat agree,38,0
886,yes,Neutral,26,0
887,yes,Somewhat agree,38,0
888,yes,Strongly disagree,31,0
889,yes,Strongly disagree,49,0
890,yes,Neutral,23,0
891,yes,Somewhat agree,41,0
892,yes,Strongly agree,28,0
893,yes,Somewhat agree,49,0
894,no,Somewhat agree,40,0
895,yes,Neutral,42,0
896,yes,Somewhat disagree,46,0
897,yes,Strongly agree,57,0
898,yes,Neutral,31,0
899,yes,Somewhat disagree,32,0
900,yes,Strongly agree,46,0
901,yes,Somewhat agree,58,0
902,yes,Somewhat agree,67,0
903,yes,Somewhat disagree,32,0
904,yes,Neutral,26,0
905,yes,Somewhat agree,33,0
907,yes,Somewhat disagree,29,0
908,yes,Somewhat agree,61,0
909,yes,Somewhat agree,35,0
910,yes,Neutral,31,0
911,yes,Somewhat disagree,55,0
912,yes,Neutral,33,0
913,yes,Strongly agree,65,0
914,yes,Somewhat agree,50,0
915,yes,Strongly agree,39,0
916,yes,Neutral,21,0
917,no,Somewhat disagree,58,0
919,yes,Somewhat disagree,49,0
920,yes,Somewhat disagree,29,0
921,yes,Somewhat disagree,34,0
922,yes,Neutral,31,0
923,yes,Somewhat agree,52,0
924,yes,Neutral,57,0
925,yes,Somewhat disagree,37,0
926,yes,Somewhat agree,56,0
927,yes,Somewhat disagree,40,0
929,yes,Strongly agree,57,0
